Test: [240/410]	Time 0.030 (0.060)	Loss 1.9264 (4.1122)	Prec@1 0.000 (0.000)	Prec@5 100.000 (39.419)
Test: [260/410]	Time 0.031 (0.058)	Loss 1.9303 (3.9450)	Prec@1 0.000 (0.000)	Prec@5 100.000 (44.061)
Test: [280/410]	Time 0.030 (0.060)	Loss 1.8724 (3.7991)	Prec@1 0.000 (0.000)	Prec@5 100.000 (48.043)
Test: [300/410]	Time 0.030 (0.058)	Loss 1.8720 (3.6711)	Prec@1 0.000 (0.000)	Prec@5 100.000 (51.495)
Test: [320/410]	Time 0.044 (0.056)	Loss 1.8669 (3.5589)	Prec@1 0.000 (0.000)	Prec@5 100.000 (54.517)
Test: [340/410]	Time 0.029 (0.057)	Loss 7.4996 (3.7909)	Prec@1 0.000 (0.000)	Prec@5 0.000 (51.320)
Test: [360/410]	Time 0.032 (0.057)	Loss 1.5995 (3.7393)	Prec@1 100.000 (3.601)	Prec@5 100.000 (52.078)
Test: [380/410]	Time 0.030 (0.057)	Loss 1.6086 (3.6273)	Prec@1 100.000 (8.661)	Prec@5 100.000 (54.593)
Test: [400/410]	Time 0.030 (0.056)	Loss 6.0960 (3.6555)	Prec@1 0.000 (10.224)	Prec@5 0.000 (53.865)
Testing Results: Prec@1 10.000 Prec@5 52.683 Loss 3.68075
Best Prec@1: 10.000

Epoch: [1][0/2049], lr: 0.00100	Time 1.017 (1.017)	Data 0.892 (0.892)	Loss 3.0274 (3.0274)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [1][20/2049], lr: 0.00100	Time 0.094 (0.160)	Data 0.000 (0.058)	Loss 1.5699 (2.4645)	Prec@1 100.000 (23.810)	Prec@5 100.000 (52.381)
Epoch: [1][40/2049], lr: 0.00100	Time 0.094 (0.129)	Data 0.000 (0.030)	Loss 2.7747 (2.6480)	Prec@1 0.000 (12.195)	Prec@5 0.000 (41.463)
Epoch: [1][60/2049], lr: 0.00100	Time 0.119 (0.119)	Data 0.000 (0.020)	Loss 2.6101 (2.6593)	Prec@1 0.000 (11.475)	Prec@5 0.000 (40.984)
Epoch: [1][80/2049], lr: 0.00100	Time 0.093 (0.114)	Data 0.000 (0.015)	Loss 1.9149 (2.6197)	Prec@1 100.000 (13.580)	Prec@5 100.000 (44.444)
Epoch: [1][100/2049], lr: 0.00100	Time 0.095 (0.111)	Data 0.000 (0.012)	Loss 3.1034 (2.5765)	Prec@1 0.000 (15.842)	Prec@5 0.000 (46.535)
