Epoch: [10][0/105], lr: 0.00100	Time 14.346 (14.346)	Data 12.443 (12.443)	Loss 0.2307 (0.2307)	Prec@1 94.444 (94.444)	Prec@5 98.611 (98.611)
Epoch: [10][20/105], lr: 0.00100	Time 1.893 (2.544)	Data 0.000 (0.593)	Loss 0.3924 (0.2500)	Prec@1 87.500 (91.667)	Prec@5 100.000 (99.868)
Epoch: [10][40/105], lr: 0.00100	Time 1.906 (2.261)	Data 0.000 (0.304)	Loss 0.1472 (0.2696)	Prec@1 94.444 (91.159)	Prec@5 100.000 (99.695)
Epoch: [10][60/105], lr: 0.00100	Time 1.905 (2.166)	Data 0.000 (0.204)	Loss 0.1249 (0.2620)	Prec@1 95.833 (91.280)	Prec@5 100.000 (99.727)
Epoch: [10][80/105], lr: 0.00100	Time 1.905 (2.115)	Data 0.000 (0.154)	Loss 0.1201 (0.2666)	Prec@1 95.833 (91.049)	Prec@5 100.000 (99.743)
Epoch: [10][100/105], lr: 0.00100	Time 1.906 (2.074)	Data 0.000 (0.123)	Loss 0.2216 (0.2609)	Prec@1 91.667 (91.144)	Prec@5 100.000 (99.752)
Test: [0/22]	Time 12.454 (12.454)	Loss 0.4423 (0.4423)	Prec@1 84.722 (84.722)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.954 (1.533)	Loss 0.6137 (0.3502)	Prec@1 84.722 (90.675)	Prec@5 100.000 (99.868)
Testing Results: Prec@1 90.748 Prec@5 99.869 Loss 0.34745
Best Prec@1: 90.748

Epoch: [11][0/105], lr: 0.00100	Time 12.897 (12.897)	Data 10.997 (10.997)	Loss 0.2066 (0.2066)	Prec@1 94.444 (94.444)	Prec@5 100.000 (100.000)
Epoch: [11][20/105], lr: 0.00100	Time 2.037 (2.503)	Data 0.000 (0.537)	Loss 0.2710 (0.2711)	Prec@1 90.278 (91.468)	Prec@5 100.000 (99.405)
Epoch: [11][40/105], lr: 0.00100	Time 1.904 (2.233)	Data 0.000 (0.275)	Loss 0.2290 (0.2475)	Prec@1 93.056 (91.938)	Prec@5 100.000 (99.661)
Epoch: [11][60/105], lr: 0.00100	Time 2.030 (2.147)	Data 0.000 (0.185)	Loss 0.2570 (0.2480)	Prec@1 93.056 (91.917)	Prec@5 100.000 (99.727)
Epoch: [11][80/105], lr: 0.00100	Time 1.905 (2.098)	Data 0.000 (0.139)	Loss 0.2342 (0.2405)	Prec@1 95.833 (92.095)	Prec@5 98.611 (99.657)
Epoch: [11][100/105], lr: 0.00100	Time 1.907 (2.062)	Data 0.000 (0.112)	Loss 0.2393 (0.2453)	Prec@1 87.500 (91.818)	Prec@5 100.000 (99.656)
Test: [0/22]	Time 12.116 (12.116)	Loss 0.5160 (0.5160)	Prec@1 84.722 (84.722)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.953 (1.535)	Loss 1.0590 (0.4798)	Prec@1 80.556 (88.294)	Prec@5 98.611 (99.603)
Testing Results: Prec@1 88.386 Prec@5 99.606 Loss 0.47616
Best Prec@1: 90.748

Epoch: [12][0/105], lr: 0.00100	Time 12.222 (12.222)	Data 10.220 (10.220)	Loss 0.2034 (0.2034)	Prec@1 91.667 (91.667)	Prec@5 100.000 (100.000)
Epoch: [12][20/105], lr: 0.00100	Time 2.029 (2.459)	Data 0.000 (0.487)	Loss 0.3161 (0.2247)	Prec@1 90.278 (92.394)	Prec@5 100.000 (99.802)
Epoch: [12][40/105], lr: 0.00100	Time 2.037 (2.215)	Data 0.000 (0.249)	Loss 0.2614 (0.2419)	Prec@1 90.278 (91.396)	Prec@5 100.000 (99.864)
Epoch: [12][60/105], lr: 0.00100	Time 1.904 (2.126)	Data 0.000 (0.168)	Loss 0.1372 (0.2308)	Prec@1 95.833 (91.917)	Prec@5 100.000 (99.772)
Epoch: [12][80/105], lr: 0.00100	Time 1.902 (2.085)	Data 0.000 (0.126)	Loss 0.1507 (0.2340)	Prec@1 93.056 (91.787)	Prec@5 100.000 (99.760)
Epoch: [12][100/105], lr: 0.00100	Time 1.904 (2.051)	Data 0.000 (0.101)	Loss 0.3113 (0.2274)	Prec@1 88.889 (92.189)	Prec@5 98.611 (99.766)
Test: [0/22]	Time 11.751 (11.751)	Loss 0.4130 (0.4130)	Prec@1 88.889 (88.889)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.952 (1.515)	Loss 1.2813 (0.5599)	Prec@1 76.389 (89.352)	Prec@5 100.000 (99.934)
Testing Results: Prec@1 89.436 Prec@5 99.934 Loss 0.55586
Best Prec@1: 90.748

Epoch: [13][0/105], lr: 0.00100	Time 12.132 (12.132)	Data 10.110 (10.110)	Loss 0.1494 (0.1494)	Prec@1 95.833 (95.833)	Prec@5 100.000 (100.000)
Epoch: [13][20/105], lr: 0.00100	Time 2.046 (2.491)	Data 0.000 (0.492)	Loss 0.1911 (0.2174)	Prec@1 93.056 (91.865)	Prec@5 100.000 (99.802)
Epoch: [13][40/105], lr: 0.00100	Time 1.904 (2.226)	Data 0.000 (0.252)	Loss 0.1470 (0.2059)	Prec@1 97.222 (92.920)	Prec@5 100.000 (99.831)
Epoch: [13][60/105], lr: 0.00100	Time 1.910 (2.141)	Data 0.000 (0.170)	Loss 0.3166 (0.2051)	Prec@1 91.667 (93.056)	Prec@5 100.000 (99.818)
Epoch: [13][80/105], lr: 0.00100	Time 1.900 (2.094)	Data 0.000 (0.128)	Loss 0.1701 (0.1993)	Prec@1 97.222 (93.193)	Prec@5 100.000 (99.829)
Epoch: [13][100/105], lr: 0.00100	Time 1.910 (2.059)	Data 0.000 (0.102)	Loss 0.0750 (0.2032)	Prec@1 97.222 (93.069)	Prec@5 100.000 (99.835)
Test: [0/22]	Time 12.973 (12.973)	Loss 0.3072 (0.3072)	Prec@1 88.889 (88.889)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.954 (1.565)	Loss 1.1735 (0.5938)	Prec@1 83.333 (88.889)	Prec@5 98.611 (99.735)
Testing Results: Prec@1 88.976 Prec@5 99.738 Loss 0.58955
Best Prec@1: 90.748

Epoch: [14][0/105], lr: 0.00100	Time 12.101 (12.101)	Data 10.199 (10.199)	Loss 0.1809 (0.1809)	Prec@1 94.444 (94.444)	Prec@5 100.000 (100.000)
Epoch: [14][20/105], lr: 0.00100	Time 1.890 (2.498)	Data 0.000 (0.546)	Loss 0.2411 (0.1925)	Prec@1 90.278 (93.651)	Prec@5 100.000 (99.669)
Epoch: [14][40/105], lr: 0.00100	Time 1.903 (2.236)	Data 0.000 (0.280)	Loss 0.2605 (0.2111)	Prec@1 91.667 (93.123)	Prec@5 100.000 (99.593)
Epoch: [14][60/105], lr: 0.00100	Time 1.906 (2.150)	Data 0.000 (0.188)	Loss 0.3553 (0.2050)	Prec@1 87.500 (93.283)	Prec@5 100.000 (99.658)
Epoch: [14][80/105], lr: 0.00100	Time 1.906 (2.103)	Data 0.000 (0.142)	Loss 0.1717 (0.1930)	Prec@1 97.222 (93.759)	Prec@5 100.000 (99.743)
Epoch: [14][100/105], lr: 0.00100	Time 1.905 (2.066)	Data 0.000 (0.114)	Loss 0.1106 (0.1848)	Prec@1 95.833 (94.059)	Prec@5 98.611 (99.766)
Test: [0/22]	Time 10.561 (10.561)	Loss 0.3745 (0.3745)	Prec@1 91.667 (91.667)	Prec@5 100.000 (100.000)
Test: [20/22]	Time 0.951 (1.481)	Loss 0.6624 (0.3526)	Prec@1 91.667 (92.196)	Prec@5 98.611 (99.802)
