Epoch: [10][100/118], lr: 0.00010	Time 1.673 (1.720)	Data 0.000 (0.030)	Loss 0.4399 (0.4516)	Prec@1 87.500 (83.400)	Prec@5 98.438 (99.366)
Test: [0/24]	Time 5.032 (5.032)	Loss 0.5311 (0.5311)	Prec@1 81.250 (81.250)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.778 (0.981)	Loss 1.7130 (0.6940)	Prec@1 48.438 (78.943)	Prec@5 93.750 (98.810)
Testing Results: Prec@1 79.921 Prec@5 98.950 Loss 0.66332
Best Prec@1: 79.921

Epoch: [11][0/118], lr: 0.00010	Time 5.456 (5.456)	Data 3.765 (3.765)	Loss 0.5832 (0.5832)	Prec@1 76.562 (76.562)	Prec@5 96.875 (96.875)
Epoch: [11][20/118], lr: 0.00010	Time 1.789 (1.853)	Data 0.000 (0.179)	Loss 0.5436 (0.4898)	Prec@1 81.250 (82.738)	Prec@5 100.000 (99.182)
Epoch: [11][40/118], lr: 0.00010	Time 1.708 (1.775)	Data 0.000 (0.092)	Loss 0.4716 (0.4630)	Prec@1 84.375 (83.194)	Prec@5 98.438 (99.276)
Epoch: [11][60/118], lr: 0.00010	Time 1.673 (1.747)	Data 0.000 (0.062)	Loss 0.4079 (0.4614)	Prec@1 84.375 (83.197)	Prec@5 100.000 (99.283)
Epoch: [11][80/118], lr: 0.00010	Time 1.774 (1.735)	Data 0.000 (0.047)	Loss 0.4741 (0.4521)	Prec@1 82.812 (83.488)	Prec@5 98.438 (99.325)
Epoch: [11][100/118], lr: 0.00010	Time 1.675 (1.725)	Data 0.000 (0.037)	Loss 0.3771 (0.4469)	Prec@1 90.625 (83.834)	Prec@5 100.000 (99.335)
Test: [0/24]	Time 4.599 (4.599)	Loss 0.5103 (0.5103)	Prec@1 82.812 (82.812)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.777 (0.956)	Loss 1.6361 (0.9706)	Prec@1 54.688 (75.372)	Prec@5 92.188 (98.512)
Testing Results: Prec@1 75.787 Prec@5 98.688 Loss 0.95157
Best Prec@1: 79.921

Epoch: [12][0/118], lr: 0.00010	Time 4.654 (4.654)	Data 2.942 (2.942)	Loss 0.2980 (0.2980)	Prec@1 89.062 (89.062)	Prec@5 100.000 (100.000)
Epoch: [12][20/118], lr: 0.00010	Time 1.681 (1.821)	Data 0.000 (0.140)	Loss 0.5336 (0.3473)	Prec@1 79.688 (86.607)	Prec@5 100.000 (99.702)
Epoch: [12][40/118], lr: 0.00010	Time 1.672 (1.755)	Data 0.000 (0.072)	Loss 0.3756 (0.3818)	Prec@1 89.062 (85.823)	Prec@5 100.000 (99.390)
Epoch: [12][60/118], lr: 0.00010	Time 1.753 (1.736)	Data 0.000 (0.048)	Loss 0.4682 (0.4136)	Prec@1 87.500 (84.657)	Prec@5 100.000 (99.411)
Epoch: [12][80/118], lr: 0.00010	Time 1.696 (1.726)	Data 0.000 (0.036)	Loss 0.3290 (0.4201)	Prec@1 87.500 (84.221)	Prec@5 100.000 (99.402)
Epoch: [12][100/118], lr: 0.00010	Time 1.670 (1.717)	Data 0.000 (0.029)	Loss 0.3862 (0.4156)	Prec@1 89.062 (84.746)	Prec@5 96.875 (99.412)
Test: [0/24]	Time 4.428 (4.428)	Loss 0.5518 (0.5518)	Prec@1 79.688 (79.688)	Prec@5 100.000 (100.000)
Test: [20/24]	Time 0.774 (0.946)	Loss 1.0523 (0.7324)	Prec@1 64.062 (78.423)	Prec@5 98.438 (99.702)
Testing Results: Prec@1 79.003 Prec@5 99.738 Loss 0.70462
Best Prec@1: 79.921

