Epoch: [0][880/2049], lr: 0.00100	Time 0.066 (0.062)	Data 0.000 (0.001)	Loss 0.0201 (2.6061)	Prec@1 100.000 (20.091)	Prec@5 100.000 (60.953)
Epoch: [0][900/2049], lr: 0.00100	Time 0.058 (0.062)	Data 0.000 (0.001)	Loss 3.0225 (2.6036)	Prec@1 0.000 (20.089)	Prec@5 0.000 (61.043)
Epoch: [0][920/2049], lr: 0.00100	Time 0.058 (0.062)	Data 0.000 (0.001)	Loss 1.9159 (2.5927)	Prec@1 0.000 (20.087)	Prec@5 100.000 (61.346)
Epoch: [0][940/2049], lr: 0.00100	Time 0.057 (0.062)	Data 0.000 (0.001)	Loss 1.7074 (2.5852)	Prec@1 0.000 (20.085)	Prec@5 100.000 (61.424)
Epoch: [0][960/2049], lr: 0.00100	Time 0.061 (0.062)	Data 0.000 (0.001)	Loss 3.2339 (2.5751)	Prec@1 0.000 (20.291)	Prec@5 100.000 (61.602)
Epoch: [0][980/2049], lr: 0.00100	Time 0.062 (0.062)	Data 0.000 (0.001)	Loss 2.9068 (2.5801)	Prec@1 0.000 (20.285)	Prec@5 0.000 (61.672)
Epoch: [0][1000/2049], lr: 0.00100	Time 0.059 (0.062)	Data 0.000 (0.001)	Loss 2.7833 (2.5763)	Prec@1 0.000 (20.380)	Prec@5 100.000 (61.638)
Epoch: [0][1020/2049], lr: 0.00100	Time 0.061 (0.062)	Data 0.000 (0.001)	Loss 3.9490 (2.5723)	Prec@1 0.000 (20.372)	Prec@5 0.000 (61.900)
Epoch: [0][1040/2049], lr: 0.00100	Time 0.058 (0.062)	Data 0.000 (0.001)	Loss 2.2176 (2.5625)	Prec@1 0.000 (20.557)	Prec@5 100.000 (62.056)
Epoch: [0][1060/2049], lr: 0.00100	Time 0.058 (0.062)	Data 0.000 (0.001)	Loss 0.2784 (2.5628)	Prec@1 100.000 (20.547)	Prec@5 100.000 (62.300)
