Epoch: [5][80/123], lr: 0.00010	Time 0.314 (0.402)	Data 0.000 (0.040)	Loss 0.2824 (0.1402)	Prec@1 75.000 (95.525)	Prec@5 100.000 (99.846)
Epoch: [5][100/123], lr: 0.00010	Time 0.329 (0.393)	Data 0.000 (0.032)	Loss 0.2658 (0.1435)	Prec@1 87.500 (95.297)	Prec@5 100.000 (99.752)
Epoch: [5][120/123], lr: 0.00010	Time 0.294 (0.382)	Data 0.000 (0.027)	Loss 0.0887 (0.1309)	Prec@1 100.000 (95.764)	Prec@5 100.000 (99.793)
Test: [0/49]	Time 2.707 (2.707)	Loss 0.0307 (0.0307)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.132 (0.313)	Loss 0.2573 (0.0542)	Prec@1 87.500 (98.214)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.123 (0.230)	Loss 0.0083 (0.1450)	Prec@1 100.000 (94.817)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 95.630 Prec@5 100.000 Loss 0.12468
Best Prec@1: 96.915

Epoch: [6][0/123], lr: 0.00010	Time 3.658 (3.658)	Data 3.293 (3.293)	Loss 0.0112 (0.0112)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [6][20/123], lr: 0.00010	Time 0.366 (0.513)	Data 0.000 (0.157)	Loss 0.0832 (0.0937)	Prec@1 100.000 (98.214)	Prec@5 100.000 (100.000)
Epoch: [6][40/123], lr: 0.00010	Time 0.347 (0.433)	Data 0.000 (0.081)	Loss 0.3980 (0.1108)	Prec@1 87.500 (97.256)	Prec@5 100.000 (99.695)
Epoch: [6][60/123], lr: 0.00010	Time 0.373 (0.410)	Data 0.000 (0.054)	Loss 0.3300 (0.1366)	Prec@1 87.500 (96.107)	Prec@5 100.000 (99.590)
Epoch: [6][80/123], lr: 0.00010	Time 0.335 (0.397)	Data 0.000 (0.041)	Loss 0.0009 (0.1406)	Prec@1 100.000 (96.296)	Prec@5 100.000 (99.691)
Epoch: [6][100/123], lr: 0.00010	Time 0.369 (0.388)	Data 0.000 (0.033)	Loss 0.0397 (0.1351)	Prec@1 100.000 (96.287)	Prec@5 100.000 (99.752)
Epoch: [6][120/123], lr: 0.00010	Time 0.356 (0.380)	Data 0.000 (0.028)	Loss 0.0155 (0.1223)	Prec@1 100.000 (96.488)	Prec@5 100.000 (99.793)
Test: [0/49]	Time 1.495 (1.495)	Loss 0.0456 (0.0456)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/49]	Time 0.139 (0.263)	Loss 0.8482 (0.1466)	Prec@1 62.500 (94.048)	Prec@5 100.000 (100.000)
Test: [40/49]	Time 0.178 (0.205)	Loss 0.0010 (0.1811)	Prec@1 100.000 (92.378)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 93.573 Prec@5 100.000 Loss 0.15505
Best Prec@1: 96.915

Epoch: [7][0/123], lr: 0.00010	Time 3.308 (3.308)	Data 2.870 (2.870)	Loss 1.7400 (1.7400)	Prec@1 75.000 (75.000)	Prec@5 100.000 (100.000)
