Epoch: [0][1420/2049], lr: 0.00100	Time 0.194 (0.200)	Data 0.000 (0.001)	Loss 2.4999 (2.1375)	Prec@1 0.000 (31.457)	Prec@5 100.000 (76.003)
Epoch: [0][1440/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.001)	Loss 2.0825 (2.1335)	Prec@1 0.000 (31.506)	Prec@5 100.000 (76.266)
Epoch: [0][1460/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.001)	Loss 0.7013 (2.1220)	Prec@1 100.000 (31.759)	Prec@5 100.000 (76.591)
Epoch: [0][1480/2049], lr: 0.00100	Time 0.196 (0.200)	Data 0.000 (0.001)	Loss 3.1070 (2.1206)	Prec@1 0.000 (31.803)	Prec@5 100.000 (76.705)
Epoch: [0][1500/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.001)	Loss 1.4030 (2.1154)	Prec@1 0.000 (31.979)	Prec@5 100.000 (76.815)
Epoch: [0][1520/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.000)	Loss 1.3840 (2.1137)	Prec@1 100.000 (32.084)	Prec@5 100.000 (76.923)
Epoch: [0][1540/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.000)	Loss 0.8135 (2.1087)	Prec@1 100.000 (32.187)	Prec@5 100.000 (77.093)
Epoch: [0][1560/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.000)	Loss 1.0765 (2.1011)	Prec@1 100.000 (32.351)	Prec@5 100.000 (77.258)
Epoch: [0][1580/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.000)	Loss 0.4336 (2.1046)	Prec@1 100.000 (32.258)	Prec@5 100.000 (77.293)
Epoch: [0][1600/2049], lr: 0.00100	Time 0.200 (0.200)	Data 0.000 (0.000)	Loss 3.0444 (2.0976)	Prec@1 0.000 (32.417)	Prec@5 100.000 (77.577)
Epoch: [0][1620/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.000)	Loss 0.0003 (2.0907)	Prec@1 100.000 (32.511)	Prec@5 100.000 (77.668)
Epoch: [0][1640/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.000)	Loss 0.9269 (2.0816)	Prec@1 100.000 (32.785)	Prec@5 100.000 (77.879)
Epoch: [0][1660/2049], lr: 0.00100	Time 0.196 (0.200)	Data 0.000 (0.000)	Loss 1.4983 (2.0749)	Prec@1 0.000 (33.052)	Prec@5 100.000 (78.025)
Epoch: [0][1680/2049], lr: 0.00100	Time 0.195 (0.200)	Data 0.000 (0.000)	Loss 3.2140 (2.0705)	Prec@1 0.000 (33.135)	Prec@5 100.000 (78.227)
Epoch: [0][1700/2049], lr: 0.00100	Time 0.194 (0.200)	Data 0.000 (0.000)	Loss 1.0708 (2.0654)	Prec@1 100.000 (33.216)	Prec@5 100.000 (78.366)
Epoch: [0][1720/2049], lr: 0.00100	Time 0.199 (0.200)	Data 0.000 (0.000)	Loss 0.2078 (2.0555)	Prec@1 100.000 (33.469)	Prec@5 100.000 (78.617)
Epoch: [0][1740/2049], lr: 0.00100	Time 0.194 (0.199)	Data 0.000 (0.000)	Loss 3.5074 (2.0486)	Prec@1 0.000 (33.487)	Prec@5 0.000 (78.805)
Epoch: [0][1760/2049], lr: 0.00100	Time 0.195 (0.199)	Data 0.000 (0.000)	Loss 2.6422 (2.0434)	Prec@1 0.000 (33.788)	Prec@5 100.000 (78.989)
Epoch: [0][1780/2049], lr: 0.00100	Time 0.199 (0.199)	Data 0.000 (0.000)	Loss 2.0806 (2.0426)	Prec@1 0.000 (33.745)	Prec@5 100.000 (79.169)
Epoch: [0][1800/2049], lr: 0.00100	Time 0.195 (0.199)	Data 0.000 (0.000)	Loss 1.6152 (2.0400)	Prec@1 0.000 (33.815)	Prec@5 100.000 (79.289)
Epoch: [0][1820/2049], lr: 0.00100	Time 0.195 (0.199)	Data 0.000 (0.000)	Loss 2.1251 (2.0361)	Prec@1 0.000 (33.718)	Prec@5 100.000 (79.352)
Epoch: [0][1840/2049], lr: 0.00100	Time 0.200 (0.199)	Data 0.000 (0.000)	Loss 2.4146 (2.0299)	Prec@1 0.000 (33.840)	Prec@5 100.000 (79.522)
Epoch: [0][1860/2049], lr: 0.00100	Time 0.194 (0.199)	Data 0.000 (0.000)	Loss 0.5178 (2.0283)	Prec@1 100.000 (33.960)	Prec@5 100.000 (79.527)
Epoch: [0][1880/2049], lr: 0.00100	Time 0.195 (0.199)	Data 0.000 (0.000)	Loss 0.5451 (2.0234)	Prec@1 100.000 (34.078)	Prec@5 100.000 (79.585)
Epoch: [0][1900/2049], lr: 0.00100	Time 0.195 (0.199)	Data 0.000 (0.000)	Loss 0.6538 (2.0187)	Prec@1 100.000 (34.193)	Prec@5 100.000 (79.748)
Epoch: [0][1920/2049], lr: 0.00100	Time 0.196 (0.199)	Data 0.000 (0.000)	Loss 0.5670 (2.0133)	Prec@1 100.000 (34.253)	Prec@5 100.000 (79.854)
Epoch: [0][1940/2049], lr: 0.00100	Time 0.194 (0.199)	Data 0.000 (0.000)	Loss 0.2316 (2.0077)	Prec@1 100.000 (34.467)	Prec@5 100.000 (80.010)
Epoch: [0][1960/2049], lr: 0.00100	Time 0.194 (0.199)	Data 0.000 (0.000)	Loss 1.9629 (2.0096)	Prec@1 0.000 (34.421)	Prec@5 100.000 (79.959)
Epoch: [0][1980/2049], lr: 0.00100	Time 0.199 (0.199)	Data 0.000 (0.000)	Loss 2.2186 (2.0020)	Prec@1 0.000 (34.679)	Prec@5 100.000 (80.111)
